Q No.,CAT TAGS,QUESTION,A,B,C,D,CORRECT OPTION
157,16: Principles of data collection,State whether true and false. A data collection guidebook can be revised time to time as issues in the data collection process are identified.,TRUE,FALSE,,,A
158,16: Principles of data collection,Which of the following should NOT be done during training of data collectors?,Simulati,Discussing the study objectives with them,Using an early version of the questionnaire for training,Revising the question guide according to queries,C
159,16: Principles of data collection,Which of the following does not apply in checking the quality of filled forms during data collection?,Completeness,Consistency,Readability,Statistical significance,D
160,16: Principles of data collection,"During data collection in a study, a data collector is faced with a situation where the participant refuses to answer a particular question in the middle of the interview. What is the appropriate action in this situation?",End the interview and report to the investigator,Continue the interview with the remaining questions,Seek the answer to that question from family members,Try to persuade the participant to answer the question somehow,B
161,17: Data management,Which of the following is FALSE about Unique Identifiers (ID)?,It can be same for more than one participant in a study,It can be alphanumeric,It can be a composite number,It can be used to maintain the anonymity of participants,A
162,17: Data management,Which of the following is NOT a quality assurance measure in designing a data entry form?,Using Legal values,Using minimum and maximum values,Avoiding skip patterns,Use of automatic coding,C
163,17: Data management,In a data management system each column represents a(n)-,Variable,Record,Heading,Appendix,A
164,17: Data management,Which of the following is FALSE about Mother-Daughter databases?,Information is collected at various levels,Information of each level is stored in a different database,They can be linked by a common index identifier,Each database cannot have its own unique identifier system,D
165,17: Data management,State whether true or false. Coding with ‘0’ and ‘1’ should be avoided for dichotomous variables.,TRUE,FALSE,,,B
166,17: Data management,Which of the following is FALSE about data dictionary?,It is created after the data entry is started,It contains the values assigned to the variables,It gives a brief description of the variables,It links the variables in the database to the questionnaire,A
167,17: Data management,2. No”,Categorical,Ordinal,Continuous,Discrete,A
